cell,r_center_cm,direction,mu_m,psi_ang_in
6,6.50000000e+00,12,7.55404408e-01,2.42075237e+00
7,7.50000000e+00,12,7.55404408e-01,1.95228297e+00
8,8.50000000e+00,12,7.55404408e-01,2.91657594e+00
9,9.50000000e+00,12,7.55404408e-01,1.68875127e+00
0,5.00000000e-01,13,8.65631202e-01,2.06488131e+00
1,1.50000000e+00,13,8.65631202e-01,2.02554056e+00
2,2.50000000e+00,13,8.65631202e-01,2.03936134e+00
3,3.50000000e+00,13,8.65631202e-01,2.07099685e+00
4,4.50000000e+00,13,8.65631202e-01,2.09016803e+00
5,5.50000000e+00,13,8.65631202e-01,2.21412838e+00
6,6.50000000e+00,13,8.65631202e-01,2.09496872e+00
7,7.50000000e+00,13,8.65631202e-01,2.51294267e+00
8,8.50000000e+00,13,8.65631202e-01,2.04370829e+00
9,9.50000000e+00,13,8.65631202e-01,2.92804543e+00
0,5.00000000e-01,14,9.44575023e-01,2.06593915e+00
1,1.50000000e+00,14,9.44575023e-01,2.02676580e+00
2,2.50000000e+00,14,9.44575023e-01,2.03860820e+00
3,3.50000000e+00,14,9.44575023e-01,2.06492838e+00
4,4.50000000e+00,14,9.44575023e-01,2.12331340e+00
5,5.50000000e+00,14,9.44575023e-01,2.10520473e+00
6,6.50000000e+00,14,9.44575023e-01,2.33522784e+00
7,7.50000000e+00,14,9.44575023e-01,2.07025018e+00
8,8.50000000e+00,14,9.44575023e-01,2.74784224e+00
9,9.50000000e+00,14,9.44575023e-01,1.89661103e+00
0,5.00000000e-01,15,9.89400935e-01,2.06669955e+00
1,1.50000000e+00,15,9.89400935e-01,2.02772150e+00
2,2.50000000e+00,15,9.89400935e-01,2.03803214e+00
3,3.50000000e+00,15,9.89400935e-01,2.06775653e+00
4,4.50000000e+00,15,9.89400935e-01,2.10023081e+00
5,5.50000000e+00,15,9.89400935e-01,2.18155616e+00
6,6.50000000e+00,15,9.89400935e-01,2.15213358e+00
7,7.50000000e+00,15,9.89400935e-01,2.41495464e+00
8,8.50000000e+00,15,9.89400935e-01,2.17777873e+00
9,9.50000000e+00,15,9.89400935e-01,2.74328585e+00
