cell,r_center_cm,phi_0,phi_1,phi_2,phi_3
90,9.05000000e-01,2.26681801e+00,-5.58852921e-01,-6.16564189e-02,3.65682151e-02
91,9.15000000e-01,2.30278606e+00,-5.69304261e-01,-6.82122526e-02,3.85486170e-02
92,9.25000000e-01,2.34089649e+00,-5.80030565e-01,-7.53993774e-02,4.06748721e-02
93,9.35000000e-01,2.38132826e+00,-5.91050098e-01,-8.32787572e-02,4.29601508e-02
94,9.45000000e-01,2.42427699e+00,-6.02382717e-01,-9.19172427e-02,4.54189162e-02
95,9.55000000e-01,2.46995651e+00,-6.14050028e-01,-1.01388118e-01,4.80670512e-02
96,9.65000000e-01,2.51860046e+00,-6.26075550e-01,-1.11771692e-01,5.09219974e-02
97,9.75000000e-01,2.57046415e+00,-6.38484893e-01,-1.23155947e-01,5.40029070e-02
98,9.85000000e-01,2.62582647e+00,-6.51305955e-01,-1.35637237e-01,5.73308089e-02
99,9.95000000e-01,2.68499203e+00,-6.64569134e-01,-1.49321046e-01,6.09287897e-02
