cell,r_center_cm,phi_0
278,5.57000000e+00,3.36900684e+00
279,5.59000000e+00,3.37083087e+00
280,5.61000000e+00,3.37266204e+00
281,5.63000000e+00,3.37450037e+00
282,5.65000000e+00,3.37634585e+00
283,5.67000000e+00,3.37819850e+00
284,5.69000000e+00,3.38005831e+00
285,5.71000000e+00,3.38192531e+00
286,5.73000000e+00,3.38379948e+00
287,5.75000000e+00,3.38568085e+00
288,5.77000000e+00,3.38756942e+00
289,5.79000000e+00,3.38946519e+00
290,5.81000000e+00,3.39136817e+00
291,5.83000000e+00,3.39327837e+00
292,5.85000000e+00,3.39519580e+00
293,5.87000000e+00,3.39712046e+00
294,5.89000000e+00,3.39905236e+00
295,5.91000000e+00,3.40099150e+00
296,5.93000000e+00,3.40293790e+00
297,5.95000000e+00,3.40489156e+00
298,5.97000000e+00,3.40685249e+00
299,5.99000000e+00,3.40882069e+00
300,6.01000000e+00,3.41079617e+00
301,6.03000000e+00,3.41277895e+00
302,6.05000000e+00,3.41476902e+00
303,6.07000000e+00,3.41676639e+00
304,6.09000000e+00,3.41877107e+00
305,6.11000000e+00,3.42078307e+00
306,6.13000000e+00,3.42280240e+00
307,6.15000000e+00,3.42482906e+00
308,6.17000000e+00,3.42686306e+00
309,6.19000000e+00,3.42890441e+00
310,6.21000000e+00,3.43095311e+00
311,6.23000000e+00,3.43300917e+00
312,6.25000000e+00,3.43507261e+00
313,6.27000000e+00,3.43714342e+00
314,6.29000000e+00,3.43922162e+00
315,6.31000000e+00,3.44130721e+00
316,6.33000000e+00,3.44340020e+00
317,6.35000000e+00,3.44550059e+00
318,6.37000000e+00,3.44760840e+00
319,6.39000000e+00,3.44972364e+00
320,6.41000000e+00,3.45184631e+00
321,6.43000000e+00,3.45397641e+00
322,6.45000000e+00,3.45611396e+00
323,6.47000000e+00,3.45825897e+00
324,6.49000000e+00,3.46041143e+00
325,6.51000000e+00,3.46257137e+00
326,6.53000000e+00,3.46473878e+00
327,6.55000000e+00,3.46691368e+00
328,6.57000000e+00,3.46909607e+00
329,6.59000000e+00,3.47128597e+00
330,6.61000000e+00,3.47348337e+00
331,6.63000000e+00,3.47568829e+00
332,6.65000000e+00,3.47790074e+00
333,6.67000000e+00,3.48012071e+00
334,6.69000000e+00,3.48234823e+00
335,6.71000000e+00,3.48458330e+00
